1 1 9.005049
2 1 -5.185302
3 1 -2.677381
4 1 -0.606337
5 1 -4.573619
6 1 1.768970
7 1 5.173037
8 1 -0.705068
9 1 3.595037
10 1 -5.585194
1 2 -5.185302
2 2 16.068669
3 2 -1.744431
4 2 1.622829
5 2 4.922629
6 2 -6.617125
7 2 -3.320140
8 2 6.326231
9 2 8.480186
10 2 11.514073
1 3 -2.677381
2 3 -1.744431
3 3 9.764580
4 3 4.111624
5 3 3.387981
6 3 0.729881
7 3 1.500116
8 3 -1.302974
9 3 -8.518769
10 3 -5.155906
1 4 -0.606337
2 4 1.622829
3 4 4.111624
4 4 16.604563
5 4 1.165643
6 4 -1.869212
7 4 -0.431829
8 4 -5.667176
9 4 0.840874
10 4 -2.575157
1 5 -4.573619
2 5 4.922629
3 5 3.387981
4 5 1.165643
5 5 14.329853
6 5 -3.757115
7 5 -2.513370
8 5 2.668415
9 5 -4.071508
10 5 11.497272
1 6 1.768970
2 6 -6.617125
3 6 0.729881
4 6 -1.869212
5 6 -3.757115
6 6 9.735567
7 6 3.070309
8 6 -2.883162
9 6 -2.846233
10 6 -6.180743
1 7 5.173037
2 7 -3.320140
3 7 1.500116
4 7 -0.431829
5 7 -2.513370
6 7 3.070309
7 7 6.409268
8 7 -0.820137
9 7 0.978154
10 7 -7.601051
1 8 -0.705068
2 8 6.326231
3 8 -1.302974
4 8 -5.667176
5 8 2.668415
6 8 -2.883162
7 8 -0.820137
8 8 8.115842
9 8 4.301296
10 8 7.615121
1 9 3.595037
2 9 8.480186
3 9 -8.518769
4 9 0.840874
5 9 -4.071508
6 9 -2.846233
7 9 0.978154
8 9 4.301296
9 9 19.398122
10 9 8.366980
1 10 -5.585194
2 10 11.514073
3 10 -5.155906
4 10 -2.575157
5 10 11.497272
6 10 -6.180743
7 10 -7.601051
8 10 7.615121
9 10 8.366980
10 10 25.849441

